Sample,Ammonia,Cyclohexanone,Ethanol,Acetone,Methanol,Sensor1,Sensor2,Sensor3,Sensor4
2,50,0,0,50,0,11970355.300906,77351444.264939,9778948.753463,15465638875.719837
2,50,0,0,50,0,12300574.342387,84322074.431470,9793763.412013,14267519116.597528
2,50,0,0,50,0,12155063.768133,84251780.910420,9785202.381135,15705431562.085995
2,50,0,0,50,0,12334058.446437,89950214.142927,9867112.797456,15348468133.305515
2,50,0,0,50,0,12038327.912052,74803134.354679,9684929.761996,13689066007.657890
2,50,0,0,50,0,12303610.064265,94446417.559431,9627539.345524,14267519116.597528
2,50,0,0,50,0,12109277.952984,101460388.432309,9469331.655633,14897013462.252716
2,50,0,0,50,0,11998463.436683,92164559.802111,9595860.259474,14368714820.884491
2,50,0,0,50,0,12661414.276159,112150958.988545,9747900.624487,14368714820.884491
3,50,0,50,0,0,21144937.364600,86008361.913374,10259654.339706,698388932.316288
3,50,0,50,0,0,20076555.819254,75108973.901534,10338416.733522,1080179147.235921
3,50,0,50,0,0,20155221.010431,71418874.232727,10322956.014085,1469340925.188689
3,50,0,50,0,0,20636154.921568,89039014.254049,10290586.906453,652801156.714728
3,50,0,50,0,0,20541093.187532,77708359.612650,10340574.976039,972632713.655408
3,50,0,50,0,0,20557929.403848,76968459.563639,10384094.554419,1079602569.715121
3,50,0,50,0,0,20261066.590856,73470435.826701,10377381.958215,1315523583.730158
3,50,0,50,0,0,20397012.557954,76997782.848339,10445508.836608,1135359914.356703
3,50,0,50,0,0,20515891.047580,83006225.464127,10353093.023314,855714461.657677
3,50,0,50,0,0,20484473.995060,72107047.071418,10421121.280031,1471478059.909846
3,50,0,50,0,0,20874428.563336,77529494.501802,10367615.566108,868583596.066334
3,50,0,50,0,0,21351876.107964,91829659.469401,10233746.363660,603093534.363690
3,50,0,50,0,0,20064508.032211,69478631.450636,10365830.459790,1774749198.632807
3,50,0,50,0,0,21120462.551305,83486207.948811,10375019.187513,722359404.336700
3,50,0,50,0,0,20710700.434882,79984177.520843,10381217.088714,859717855.780986
3,50,0,50,0,0,21056205.409079,76041669.187014,10504257.041441,1006022740.739588
3,50,0,50,0,0,22303026.112185,116210542.359512,10490035.020973,434726821.408794
3,50,0,50,0,0,21326922.453087,103063432.778676,10352393.181154,523632238.673012
3,50,0,50,0,0,20465669.368555,77648650.150061,10390686.697415,895914427.154875
3,50,0,50,0,0,20787935.620120,78008316.309410,10486126.215683,912082338.586860
3,50,0,50,0,0,21084961.800288,79700304.414003,10403893.138530,896311683.032754
3,50,0,50,0,0,20648897.300031,81996021.154977,10370550.118933,767929706.864935
3,50,0,50,0,0,20844075.080365,75813442.674504,10418289.568097,947562581.268911
3,50,0,50,0,0,21118240.059315,86118284.598386,10383071.134357,707932755.425217
3,50,0,50,0,0,21120462.551305,84322074.431470,10366914.702556,705460870.882248
3,50,0,50,0,0,21495925.699233,96153194.218507,10342225.635520,540601093.470039
3,50,0,50,0,0,21868228.840082,90392621.055398,10322639.649434,623962937.887727
3,50,0,50,0,0,23385912.632221,114759962.202628,10522707.139921,430918513.984653
3,50,0,50,0,0,21167237.616045,78799130.982372,10420477.550477,771153105.733105
3,50,0,50,0,0,21653593.994597,92544247.350246,10366914.702556,562596606.731549
4,50,0,50,0,0,238706.675195,187040.473400,1508623.290885,757998.123094
4,50,0,50,0,0,238694.203185,187082.360177,1508368.696536,758056.041121
4,50,0,50,0,0,238714.607434,187100.262054,1508135.751231,757981.323159
4,50,0,50,0,0,238695.351885,187138.922790,1508440.103761,758225.395872
4,50,0,50,0,0,238707.796627,187044.539733,1508076.809278,758300.134584
4,50,0,50,0,0,238747.434441,187094.975757,1508197.845749,758286.424640
4,50,0,50,0,0,238776.327470,187181.251231,1508427.652208,758130.765436
4,50,0,50,0,0,238798.985680,187218.301314,1508424.501835,758136.955900
4,50,0,50,0,0,238827.887505,187207.307219,1508471.158171,758162.897370
4,50,0,50,0,0,238848.855361,187235.393985,1508300.293427,758104.972302
4,50,0,50,0,0,238766.695913,187158.050633,1507676.287358,757984.417859
4,50,0,50,0,0,238771.238000,187213.404019,1507874.957831,757926.504551
4,50,0,50,0,0,238710.066866,187179.206282,1507127.071107,758117.058133
4,50,0,50,0,0,238822.796485,187215.036432,1507462.208307,758205.643507
4,50,0,50,0,0,238810.890664,187250.875524,1507539.710297,758121.627210
4,50,0,50,0,0,238761.606731,187203.236273,1507058.885553,758321.510729
4,50,0,50,0,0,238832.978678,187294.457050,1507701.175670,758075.937508
4,50,0,50,0,0,238806.922243,187216.255837,1506981.263437,757958.481656
4,50,0,50,0,0,238843.188857,187313.192316,1507251.163345,758260.479525
4,50,0,50,0,0,238836.372878,187320.533586,1506987.556943,758333.746963
4,50,0,50,0,0,238824.493474,187297.704059,1506677.414597,758352.027920
4,50,0,50,0,0,238864.158607,187332.343385,1507294.628508,758286.424640
4,50,0,50,0,0,238759.910372,187288.750365,1506215.339997,757642.740292
4,50,0,50,0,0,238815.981326,187288.750365,1506426.210609,757941.682479
4,50,0,50,0,0,238818.827785,187302.997824,1506364.203778,757805.974582
4,50,0,50,0,0,238815.981326,187395.522615,1506128.486001,757799.786447
4,50,0,50,0,0,238824.493474,187406.117552,1506658.688651,757633.607139
4,50,0,50,0,0,238844.311193,187449.332503,1506268.054324,757587.942798
4,50,0,50,0,0,238758.761234,187341.299797,1505834.125685,757514.737499
4,50,0,50,0,0,238885.678569,187502.354552,1506125.491143,757459.800707
5,0,0,0,100,0,13821462.825943,61149387.729631,9538762.069136,11847711890.376373
5,0,0,0,100,0,13785209.725356,59986885.262415,9510389.126219,15465638875.719837
5,0,0,0,100,0,13996777.242782,73098329.067971,9448814.949491,11070746938.409878
5,0,0,0,100,0,13895508.890093,71596029.755798,9465492.266040,18252420373.840973
5,0,0,0,100,0,13910993.941411,73657909.003170,9495851.761469,11255276295.857553
5,0,0,0,100,0,15004590.311156,92799115.939758,9492319.010922,776486501.500606
5,0,0,0,100,0,14397207.549909,83693618.978558,9686112.589170,5039123911.715133
5,0,0,0,100,0,15005715.689007,96890417.409287,9617348.094360,842869097.164397
5,0,0,0,100,0,15178860.197315,93832769.432071,9639537.896009,984471650.093638
5,0,0,0,100,0,15837463.100503,103115982.060325,9512406.980620,491496305.389572
5,0,0,0,100,0,15112325.932830,97356935.415081,9397286.886561,628037484.182406
5,0,0,0,100,0,15332476.311633,97733400.682101,9278557.136328,502261262.803322
5,0,0,0,100,0,16607592.330087,82296493.025079,9141703.347783,239148120.686583
5,0,0,0,100,0,16722730.950006,82870096.615405,9128167.328186,233641537.115143
5,0,0,0,100,0,16899159.146714,77085897.836794,8945952.149779,227657003.237574
5,0,0,0,100,0,16956400.493401,76939153.048600,8933323.197057,241302041.955502
5,0,0,0,100,0,16511705.274498,88726381.259712,9156955.236234,250755685.184897
5,0,0,0,100,0,17009692.616275,74472312.740639,8979656.680913,274701429.318987
5,0,0,0,100,0,16424996.018581,69935594.594170,8849447.523380,280250670.946756
5,0,0,0,100,0,16162378.570034,63098057.599163,8812288.661569,451160192.132593
5,0,0,0,100,0,15705676.620887,57248702.635620,8612122.588535,556394685.993498
5,0,0,0,100,0,15737800.804718,54512661.119385,8557396.333749,636147702.257291
5,0,0,0,100,0,15555461.115490,51560625.667263,8583615.900795,788298699.733052
5,0,0,0,100,0,15706910.758927,54468536.774519,8601782.679607,656620812.370458
5,0,0,0,100,0,15920635.481641,49792386.078146,8860615.467984,1052082039.319808
5,0,0,0,100,0,14908369.023821,45781559.681521,8649294.058292,1780996222.720106
5,0,0,0,100,0,14619432.040958,43221139.602170,8714387.820792,3604213216.619227
5,0,0,0,100,0,14449258.887968,42945033.204760,8810863.351877,6663900668.171078
